user_id,group_id
U00001,G0011
U00001,G0002
U00002,G0011
U00002,G0005
U00003,G0011
U00003,G0005
U00004,G0011
U00004,G0007
U00005,G0011
U00005,G0009
U00006,G0011
U00006,G0004
U00007,G0011
U00007,G0006
U00007,G0012
U00007,G0018
U00008,G0011
U00008,G0003
U00009,G0011
U00009,G0003
U00009,G0017
U00010,G0011
U00010,G0004
U00011,G0011
U00011,G0008
U00012,G0011
U00012,G0005
U00013,G0011
U00013,G0007
U00013,G0015
U00014,G0011
U00014,G0007
U00015,G0011
U00015,G0004
U00016,G0011
U00016,G0010
U00017,G0011
U00017,G0001
U00017,G0013
U00018,G0011
U00018,G0009
U00019,G0011
U00019,G0001
U00020,G0011
U00020,G0004
U00021,G0011
U00021,G0009
U00022,G0011
U00022,G0007
U00023,G0011
U00023,G0004
U00024,G0011
U00024,G0009
U00025,G0011
U00025,G0002
U00025,G0016
U00026,G0011
U00026,G0007
U00027,G0011
U00027,G0006
U00028,G0011
U00028,G0003
U00029,G0011
U00029,G0010
U00029,G0017
U00030,G0011
U00030,G0008
U00031,G0011
U00031,G0001
U00032,G0011
U00032,G0001
U00032,G0015
U00033,G0011
U00033,G0001
U00033,G0015
U00034,G0011
U00034,G0005
U00035,G0011
U00035,G0005
U00036,G0011
U00036,G0008
U00037,G0011
U00037,G0007
U00038,G0011
U00038,G0001
U00039,G0011
U00039,G0005
U00040,G0011
U00040,G0008
U00041,G0011
U00041,G0009
U00042,G0011
U00042,G0003
U00043,G0011
U00043,G0001
U00043,G0015
U00044,G0011
U00044,G0002
U00045,G0011
U00045,G0004
U00046,G0011
U00046,G0005
U00047,G0011
U00047,G0004
U00048,G0011
U00048,G0001
U00048,G0013
U00049,G0011
U00049,G0004
U00050,G0011
U00050,G0003
U00051,G0011
U00051,G0005
U00052,G0011
U00052,G0001
U00052,G0015
U00053,G0011
U00053,G0008
U00054,G0011
U00054,G0005
U00055,G0011
U00055,G0004
U00056,G0011
U00056,G0010
U00057,G0011
U00057,G0008
U00058,G0011
U00058,G0002
U00058,G0016
U00059,G0011
U00059,G0002
U00059,G0016
U00060,G0011
U00060,G0001
U00061,G0011
U00061,G0006
U00062,G0011
U00062,G0004
U00063,G0011
U00063,G0004
U00064,G0011
U00064,G0006
U00065,G0011
U00065,G0006
U00065,G0017
U00066,G0011
U00066,G0001
U00067,G0011
U00067,G0002
U00068,G0011
U00068,G0008
U00069,G0011
U00069,G0010
U00070,G0011
U00070,G0009
U00071,G0011
U00071,G0010
U00072,G0011
U00072,G0005
U00073,G0011
U00073,G0009
U00074,G0011
U00074,G0009
U00075,G0011
U00075,G0009
U00076,G0011
U00076,G0002
U00076,G0016
U00077,G0011
U00077,G0002
U00077,G0016
U00078,G0011
U00078,G0005
U00079,G0011
U00079,G0006
U00079,G0013
U00080,G0011
U00080,G0010
U00081,G0011
U00081,G0004
U00082,G0011
U00082,G0009
U00083,G0011
U00083,G0009
U00084,G0011
U00084,G0010
U00085,G0011
U00085,G0002
U00085,G0016
U00086,G0011
U00086,G0003
U00087,G0011
U00087,G0003
U00088,G0011
U00088,G0008
U00089,G0011
U00089,G0007
U00090,G0011
U00090,G0005
U00091,G0011
U00091,G0001
U00092,G0011
U00092,G0006
U00092,G0012
U00093,G0011
U00093,G0008
U00094,G0011
U00094,G0005
U00095,G0011
U00095,G0003
U00096,G0011
U00096,G0006
U00096,G0013
U00097,G0011
U00097,G0007
U00098,G0011
U00098,G0006
U00098,G0013
U00099,G0011
U00099,G0009
U00100,G0011
U00100,G0004
U00101,G0011
U00101,G0007
U00101,G0013
U00102,G0011
U00102,G0009
U00103,G0011
U00103,G0003
U00104,G0011
U00104,G0003
U00105,G0011
U00105,G0001
U00105,G0015
U00106,G0011
U00106,G0004
U00107,G0011
U00107,G0001
U00107,G0013
U00107,G0014
U00107,G0015
U00108,G0011
U00108,G0008
U00109,G0011
U00109,G0001
U00109,G0015
U00110,G0011
U00110,G0007
U00111,G0011
U00111,G0006
U00111,G0013
U00112,G0011
U00112,G0010
U00113,G0011
U00113,G0004
U00114,G0011
U00114,G0004
U00115,G0011
U00115,G0003
U00116,G0011
U00116,G0006
U00117,G0011
U00117,G0003
U00118,G0011
U00118,G0002
U00119,G0011
U00119,G0010
U00120,G0011
U00120,G0007
U00120,G0015
U00121,G0011
U00121,G0002
U00122,G0011
U00122,G0007
U00123,G0011
U00123,G0004
U00124,G0011
U00124,G0002
U00124,G0016
U00125,G0011
U00125,G0005
U00126,G0011
U00126,G0008
U00127,G0011
U00127,G0001
U00127,G0013
U00127,G0014
U00128,G0011
U00128,G0004
U00129,G0011
U00129,G0010
U00130,G0011
U00130,G0004
U00131,G0011
U00131,G0001
U00132,G0011
U00132,G0005
U00133,G0011
U00133,G0007
U00134,G0011
U00134,G0010
U00135,G0011
U00135,G0007
U00136,G0011
U00136,G0001
U00137,G0011
U00137,G0009
U00138,G0011
U00138,G0008
U00139,G0011
U00139,G0007
U00140,G0011
U00140,G0009
U00141,G0011
U00141,G0008
U00142,G0011
U00142,G0003
U00143,G0011
U00143,G0005
U00144,G0011
U00144,G0006
U00144,G0012
U00144,G0013
U00145,G0011
U00145,G0005
U00146,G0011
U00146,G0007
U00146,G0015
U00147,G0011
U00147,G0008
U00148,G0011
U00148,G0002
U00149,G0011
U00149,G0006
U00150,G0011
U00150,G0001
U00151,G0011
U00151,G0006
U00151,G0012
U00151,G0014
U00152,G0011
U00152,G0005
U00153,G0011
U00153,G0003
U00154,G0011
U00154,G0010
U00155,G0011
U00155,G0003
U00156,G0011
U00156,G0001
U00157,G0011
U00157,G0004
U00158,G0011
U00158,G0008
U00159,G0011
U00159,G0001
U00160,G0011
U00160,G0005
U00161,G0011
U00161,G0005
U00162,G0011
U00162,G0009
U00163,G0011
U00163,G0001
U00164,G0011
U00164,G0001
U00164,G0013
U00165,G0011
U00165,G0006
U00165,G0013
U00165,G0017
U00166,G0011
U00166,G0002
U00166,G0016
U00167,G0011
U00167,G0008
U00168,G0011
U00168,G0003
U00169,G0011
