device_id,device_type,os,mac,hostname,owner_user_id,attached_switch_id,attached_interface,vlan
D000001,laptop,Windows,66:d7:fc:0e:39:55,LAP-HDAVIS0000,U00001,SW018,Gi1/0/17,30
D000002,laptop,Windows,fe:f4:72:66:e7:de,LAP-ACLARK0001,U00002,SW075,Gi1/0/26,20
D000003,laptop,Windows,62:6f:7b:e1:51:40,LAP-NRODRIGUEZ00,U00003,SW039,Gi1/0/28,30
D000004,laptop,Windows,6e:a4:0d:2a:4d:db,LAP-EWILSON0003,U00004,SW025,Gi1/0/39,30
D000005,laptop,Windows,ea:d1:5e:7e:69:37,LAP-RMARTIN0004,U00005,SW031,Gi1/0/28,30
D000006,laptop,Windows,82:29:14:07:ad:41,LAP-OANDERSON000,U00006,SW080,Gi1/0/38,30
D000007,laptop,Windows,ba:34:02:da:34:6f,LAP-NWRIGHT0006,U00007,SW048,Gi1/0/45,10
D000008,laptop,Windows,52:a6:f5:fb:5a:ff,LAP-PHILL0007,U00008,SW002,Gi1/0/43,20
D000009,laptop,Windows,ea:2a:03:e6:69:86,LAP-ALEE0008,U00009,SW053,Gi1/0/20,20
D000010,laptop,Windows,66:c2:7a:94:d9:09,LAP-RPEREZ0009,U00010,SW081,Gi1/0/26,30
D000011,laptop,Windows,e6:93:61:2f:a7:d4,LAP-EWILLIAMS001,U00011,SW017,Gi1/0/39,20
D000012,laptop,Windows,0a:60:74:45:27:09,LAP-SMARTINEZ001,U00012,SW008,Gi1/0/32,30
D000013,laptop,Windows,be:61:87:ef:d2:86,LAP-HJOHNSON0012,U00013,SW065,Gi1/0/7,60
D000014,laptop,Windows,62:3a:7b:5a:06:62,LAP-HWRIGHT0013,U00014,SW091,Gi1/0/46,60
D000015,laptop,Windows,66:d9:ad:ac:cc:cb,LAP-AMARTINEZ001,U00015,SW008,Gi1/0/37,40
D000016,laptop,Windows,2e:09:1a:38:e6:a2,LAP-TWILSON0015,U00016,SW069,Gi1/0/33,40
D000017,laptop,Windows,fa:3d:f8:19:92:22,LAP-TKING0016,U00017,SW081,Gi1/0/48,20
D000018,laptop,Windows,06:e7:4d:a6:d5:b0,LAP-DLEWIS0017,U00018,SW015,Gi1/0/9,10
D000019,laptop,Windows,22:9a:f0:55:06:19,LAP-KHARRIS0018,U00019,SW025,Gi1/0/43,40
D000020,laptop,Windows,3a:b3:a2:2b:65:50,LAP-EJOHNSON0019,U00020,SW050,Gi1/0/16,20
