flow_id,src_device_id,src_user_id,dst_service_id
F000000001,D000001,U00001,
F000000002,D000001,U00001,SV0042
F000000003,D000001,U00001,
F000000004,D000002,U00002,
F000000005,D000002,U00002,SV0041
F000000006,D000002,U00002,SV0040
F000000007,D000002,U00002,
F000000008,D000002,U00002,SV0006
F000000009,D000002,U00002,SV0040
F000000010,D000003,U00003,
F000000011,D000003,U00003,
F000000012,D000003,U00003,SV0035
F000000013,D000003,U00003,SV0035
F000000014,D000003,U00003,SV0040
F000000015,D000003,U00003,SV0009
F000000016,D000003,U00003,SV0004
F000000017,D000003,U00003,SV0023
F000000018,D007470,U07470,SV0041
F000000019,D007470,U07470,SV0015
F000000020,D007470,U07470,SV0038
F000000021,D007470,U07470,SV0003
F000000022,D007470,U07470,
F000000023,D007470,U07470,SV0025
F000000024,D001679,U01679,SV0008
F000000025,D001679,U01679,SV0007
F000000026,D001679,U01679,SV0033
F000000027,D001679,U01679,SV0016
F000000028,D001679,U01679,
F000000029,D001679,U01679,
F000000030,D001679,U01679,
F000000031,D001679,U01679,SV0040
F000000032,D001679,U01679,
F000000033,D001679,U01679,
F000000034,D007656,U07656,SV0015
F000000035,D007656,U07656,SV0024
F000000036,D007656,U07656,
F000000037,D007656,U07656,SV0028
F000000038,D007656,U07656,SV0038
F000000039,D007656,U07656,SV0034
F000000040,D007656,U07656,SV0028
F000000041,D007656,U07656,
F000000042,D007656,U07656,
F000000043,D000007,U00007,SV0023
F000000044,D000007,U00007,
F000000045,D000007,U00007,
F000000046,D000007,U00007,SV0027
F000000047,D000007,U00007,
F000000048,D000007,U00007,SV0038
F000000049,D000007,U00007,SV0014
F000000050,D000007,U00007,SV0032
F000000051,D000007,U00007,
F000000052,D000007,U00007,SV0004
F000000053,D000007,U00007,SV0016
F000000054,D012786,,SV0008
F000000055,D012786,,
F000000056,D012786,,
F000000057,D013076,,
F000000058,D013076,,SV0018
F000000059,D013076,,SV0010
F000000060,D013076,,
F000000061,D013076,,SV0038
F000000062,D013076,,
F000000063,D013076,,SV0037
F000000064,D013076,,SV0041
F000000065,D013076,,
F000000066,D013076,,
F000000067,D013076,,SV0017
F000000068,D013076,,
F000000069,D013076,,SV0017
F000000070,D007422,U07422,SV0027
F000000071,D007422,U07422,
F000000072,D007422,U07422,SV0011
F000000073,D007422,U07422,SV0036
F000000074,D007422,U07422,
F000000075,D007422,U07422,
F000000076,D007422,U07422,
F000000077,D007422,U07422,SV0023
F000000078,D007422,U07422,SV0007
F000000079,D004616,U04616,
F000000080,D004616,U04616,
F000000081,D004616,U04616,SV0038
F000000082,D004616,U04616,
F000000083,D004616,U04616,
F000000084,D004616,U04616,SV0017
F000000085,D004616,U04616,SV0032
F000000086,D004616,U04616,SV0039
F000000087,D004616,U04616,
F000000088,D004616,U04616,SV0014
F000000089,D004616,U04616,
F000000090,D004616,U04616,SV0034
F000000091,D004616,U04616,SV0035
F000000092,D004616,U04616,SV0036
F000000093,D004010,U04010,SV0039
F000000094,D004010,U04010,SV0003
F000000095,D004010,U04010,
F000000096,D004010,U04010,
F000000097,D004010,U04010,SV0018
F000000098,D004010,U04010,SV0027
F000000099,D004010,U04010,SV0003
F000000100,D004010,U04010,
F000000101,D010339,U02553,SV0041
F000000102,D010339,U02553,SV0028
F000000103,D010339,U02553,SV0001
F000000104,D010339,U02553,
F000000105,D010339,U02553,SV0037
F000000106,D010339,U02553,
F000000107,D010339,U02553,SV0017
F000000108,D010339,U02553,SV0012
F000000109,D010339,U02553,
F000000110,D001088,U01088,SV0016
F000000111,D001088,U01088,SV0012
F000000112,D001088,U01088,SV0029
F000000113,D010212,U03410,SV0030
F000000114,D010212,U03410,
F000000115,D010212,U03410,SV0018
F000000116,D010212,U03410,SV0023
F000000117,D010212,U03410,SV0003
F000000118,D010212,U03410,SV0017
F000000119,D010212,U03410,SV0038
F000000120,D010212,U03410,SV0010
F000000121,D010212,U03410,
F000000122,D010212,U03410,
F000000123,D010212,U03410,SV0023
F000000124,D000016,U00016,SV0002
F000000125,D000016,U00016,SV0011
F000000126,D000016,U00016,SV0042
F000000127,D000016,U00016,SV0014
F000000128,D000016,U00016,SV0038
F000000129,D000016,U00016,
F000000130,D000016,U00016,SV0011
F000000131,D000016,U00016,SV0002
F000000132,D000016,U00016,SV0017
F000000133,D000016,U00016,
F000000134,D006429,U06429,SV0008
F000000135,D006429,U06429,SV0002
