device_id,mac,ip,vlan,switch_id,interface,lease_start,lease_end,assignment_type
D000001,66:d7:fc:0e:39:55,10.2.30.19,30,SW018,Gi1/0/17,2025-12-10T07:00:00+00:00,2025-12-10T19:00:00+00:00,DHCP
D000002,fe:f4:72:66:e7:de,10.7.20.135,20,SW075,Gi1/0/26,2025-12-10T07:00:00+00:00,2025-12-10T19:00:00+00:00,DHCP
D000003,62:6f:7b:e1:51:40,10.3.30.54,30,SW039,Gi1/0/28,2025-12-10T07:00:00+00:00,2025-12-10T19:00:00+00:00,DHCP
D000004,6e:a4:0d:2a:4d:db,10.8.30.194,30,SW025,Gi1/0/39,2025-12-10T07:00:00+00:00,2025-12-10T19:00:00+00:00,DHCP
D000005,ea:d1:5e:7e:69:37,10.5.30.120,30,SW031,Gi1/0/28,2025-12-10T07:00:00+00:00,2025-12-10T19:00:00+00:00,DHCP
D000006,82:29:14:07:ad:41,10.7.30.156,30,SW080,Gi1/0/38,2025-12-10T07:00:00+00:00,2025-12-10T19:00:00+00:00,DHCP
D000007,ba:34:02:da:34:6f,10.9.10.55,10,SW048,Gi1/0/45,2025-12-10T07:00:00+00:00,2025-12-10T19:00:00+00:00,DHCP
D000008,52:a6:f5:fb:5a:ff,10.8.20.169,20,SW002,Gi1/0/43,2025-12-10T07:00:00+00:00,2025-12-10T19:00:00+00:00,DHCP
D000009,ea:2a:03:e6:69:86,10.4.20.18,20,SW053,Gi1/0/20,2025-12-10T07:00:00+00:00,2025-12-10T19:00:00+00:00,DHCP
D000010,66:c2:7a:94:d9:09,10.10.30.44,30,SW081,Gi1/0/26,2025-12-10T07:00:00+00:00,2025-12-10T19:00:00+00:00,DHCP
D000011,e6:93:61:2f:a7:d4,10.6.20.206,20,SW017,Gi1/0/39,2025-12-10T07:00:00+00:00,2025-12-10T19:00:00+00:00,DHCP
D000012,0a:60:74:45:27:09,10.7.30.67,30,SW008,Gi1/0/32,2025-12-10T07:00:00+00:00,2025-12-10T19:00:00+00:00,DHCP
