session_id,mac,ip,device_id,username,auth_method,endpoint_profile,location,vlan,session_start,session_end,sgt
S00000001,66:d7:fc:0e:39:55,10.2.30.19,D000001,hdavis0000,DOT1X,Workstation,SW018/Gi1/0/17,30,2025-12-10 15:16:13+00:00,2025-12-10 22:39:46.352907229+00:00,0
S00000002,fe:f4:72:66:e7:de,10.7.20.135,D000002,aclark0001,MAB,CorporateLaptop,SW075/Gi1/0/26,20,2025-12-10 09:48:14+00:00,2025-12-10 16:56:03.155819330+00:00,0
S00000003,62:6f:7b:e1:51:40,10.3.30.54,D000003,nrodriguez0002,DOT1X,CorporateLaptop,SW039/Gi1/0/28,30,2025-12-10 15:08:19+00:00,2025-12-10 18:05:23.904936100+00:00,0
S00000004,6e:a4:0d:2a:4d:db,10.8.30.194,D000004,ewilson0003,DOT1X,Workstation,SW025/Gi1/0/39,30,2025-12-10 09:49:07+00:00,2025-12-10 15:46:37.592749783+00:00,0
S00000005,ea:d1:5e:7e:69:37,10.5.30.120,D000005,rmartin0004,MAB,CorporateLaptop,SW031/Gi1/0/28,30,2025-12-10 15:22:07+00:00,2025-12-10 19:38:52.714278071+00:00,0
S00000006,82:29:14:07:ad:41,10.7.30.156,D000006,oanderson0005,DOT1X,CorporateLaptop,SW080/Gi1/0/38,30,2025-12-10 11:24:13+00:00,2025-12-10 16:14:25.799243082+00:00,0
S00000007,ba:34:02:da:34:6f,10.9.10.55,D000007,nwright0006,DOT1X,Workstation,SW048/Gi1/0/45,10,2025-12-10 11:13:21+00:00,2025-12-10 14:08:50.312130079+00:00,0
S00000008,52:a6:f5:fb:5a:ff,10.8.20.169,D000008,phill0007,MAB,Workstation,SW002/Gi1/0/43,20,2025-12-10 14:18:23+00:00,2025-12-10 22:10:11.007747616+00:00,0
S00000009,ea:2a:03:e6:69:86,10.4.20.18,D000009,alee0008,DOT1X,CorporateLaptop,SW053/Gi1/0/20,20,2025-12-10 11:54:12+00:00,2025-12-10 15:29:48.726893466+00:00,0
S00000010,66:c2:7a:94:d9:09,10.10.30.44,D000010,rperez0009,DOT1X,CorporateLaptop,SW081/Gi1/0/26,30,2025-12-10 10:14:08+00:00,2025-12-10 17:23:11.992814244+00:00,0
S00000011,e6:93:61:2f:a7:d4,10.6.20.206,D000011,ewilliams0010,MAB,CorporateLaptop,SW017/Gi1/0/39,20,2025-12-10 11:01:10+00:00,2025-12-10 13:22:51.126353581+00:00,0
S00000012,0a:60:74:45:27:09,10.7.30.67,D000012,smartinez0011,DOT1X,Workstation,SW008/Gi1/0/32,30,2025-12-10 10:00:44+00:00,2025-12-10 16:45:58.120260059+00:00,0
S00000013,be:61:87:ef:d2:86,10.5.60.186,D000013,hjohnson0012,DOT1X,CorporateLaptop,SW065/Gi1/0/7,60,2025-12-10 11:34:58+00:00,2025-12-10 18:21:49.382839687+00:00,0
S00000014,62:3a:7b:5a:06:62,10.5.60.217,D000014,hwright0013,DOT1X,Workstation,SW091/Gi1/0/46,60,2025-12-10 12:01:16+00:00,2025-12-10 15:35:12.348816940+00:00,0
S00000015,66:d9:ad:ac:cc:cb,10.7.40.41,D000015,amartinez0014,DOT1X,Workstation,SW008/Gi1/0/37,40,2025-12-10 13:29:24+00:00,2025-12-10 18:53:40.892749339+00:00,0
S00000016,2e:09:1a:38:e6:a2,10.1.40.242,D000016,twilson0015,DOT1X,Workstation,SW069/Gi1/0/33,40,2025-12-10 10:49:15+00:00,2025-12-10 14:36:24.728577758+00:00,0
